cell,UMAP1,UMAP2,Exhaustion,Stemness,Terminality,Cytotoxicity,Proliferation,ChromatinFixation
ref_00296,3.2768,-0.0056,0.5422,0.3922,0.8002,0.896,0.2559,0.5662
ref_00297,3.0976,0.2672,0.5518,0.4146,0.8362,0.8712,0.2018,0.445
ref_00298,2.5021,0.1581,0.5717,0.4062,0.8127,0.9127,0.3035,0.4557
ref_00299,3.3152,0.5801,0.5346,0.4553,0.8406,0.8509,0.167,0.5449
ref_00300,3.2328,0.6152,0.5553,0.3955,0.8942,0.9038,0.2831,0.5921
ref_00301,3.3451,0.5367,0.5475,0.4049,0.8419,0.9326,0.2374,0.5122
ref_00302,2.8453,0.9531,0.6107,0.4148,0.8485,0.8597,0.3146,0.5997
ref_00303,3.4436,0.3642,0.553,0.399,0.8326,0.8908,0.2695,0.5509
ref_00304,2.9484,1.1795,0.6056,0.4215,0.8836,0.8591,0.2594,0.5837
ref_00305,3.1995,-0.1194,0.5579,0.4288,0.8716,0.8796,0.2295,0.5208
ref_00306,3.3839,0.8036,0.5568,0.4281,0.8426,0.9288,0.3123,0.6151
ref_00307,2.6007,0.0159,0.5276,0.4511,0.8067,0.9118,0.2517,0.5013
ref_00308,3.8173,0.6473,0.5837,0.4045,0.8643,0.8996,0.2377,0.4901
ref_00309,3.2773,0.3367,0.5523,0.4046,0.881,0.7689,0.2571,0.4484
ref_00310,3.4066,0.8634,0.5821,0.3904,0.9011,0.8015,0.2801,0.5982
ref_00311,3.8418,0.6604,0.5936,0.4063,0.8959,0.9784,0.2872,0.5703
ref_00312,3.7488,0.9525,0.597,0.3451,0.899,0.8749,0.2526,0.6047
ref_00313,3.4839,1.0729,0.6171,0.4278,0.8643,0.9295,0.2638,0.5133
ref_00314,2.939,-0.1123,0.5472,0.4355,0.8082,0.8361,0.2361,0.4874
ref_00315,2.8114,0.0217,0.5373,0.4417,0.8088,0.8695,0.204,0.4565
ref_00316,3.3701,1.0216,0.5823,0.4271,0.8799,0.8731,0.2022,0.5895
ref_00317,3.7813,-0.0325,0.5091,0.4265,0.8922,0.7524,0.163,0.5049
ref_00318,4.1804,0.7041,0.5988,0.3788,0.9126,0.8892,0.2878,0.5411
ref_00319,3.1815,-0.619,0.4763,0.432,0.8585,0.8545,0.2735,0.4021
ref_00320,2.7395,0.3729,0.58,0.4414,0.8554,0.8684,0.2705,0.5351
ref_00321,3.4695,0.8333,0.649,0.3757,0.8654,0.8718,0.3087,0.4992
ref_00322,2.9348,0.4029,0.6153,0.4723,0.8053,0.8966,0.2514,0.4958
ref_00323,3.7412,0.0029,0.5189,0.4333,0.8728,0.8558,0.225,0.4369
ref_00324,2.8854,0.7163,0.6205,0.385,0.8464,0.8639,0.2521,0.5614
ref_00325,3.3739,0.1339,0.506,0.4165,0.8906,0.9392,0.2576,0.5104
ref_00326,3.3519,0.944,0.6137,0.3759,0.8737,0.7914,0.2983,0.4514
ref_00327,3.3304,-0.1436,0.5149,0.4055,0.8931,0.8508,0.2295,0.5496
ref_00328,3.3113,-0.0976,0.5749,0.3607,0.9164,0.7792,0.2779,0.6414
ref_00329,3.6197,0.74,0.5286,0.4262,0.87,0.7468,0.2373,0.5534
ref_00330,3.2547,0.4001,0.604,0.3986,0.8634,0.9487,0.2768,0.5067
ref_00331,2.6636,0.9161,0.5866,0.4082,0.8296,0.7847,0.2751,0.5409
ref_00332,3.1218,-0.0251,0.5665,0.4066,0.8631,0.926,0.2582,0.4792
ref_00333,3.6317,0.393,0.5934,0.3996,0.9134,0.885,0.1978,0.5443
ref_00334,3.9785,0.0686,0.5656,0.4195,0.9004,0.8416,0.3032,0.4977
ref_00335,3.5191,0.0151,0.5939,0.4463,0.8412,0.9717,0.2817,0.5533
ref_00336,2.6284,0.8187,0.5368,0.4297,0.8293,0.8192,0.277,0.5336
ref_00337,2.3856,0.3975,0.5835,0.4151,0.793,0.9296,0.2521,0.5939
ref_00338,3.7871,0.0163,0.5312,0.3904,0.8661,0.7796,0.2374,0.5165
ref_00339,3.2019,0.8474,0.5456,0.4013,0.8817,0.8588,0.2187,0.5674
ref_00340,2.6916,1.097,0.596,0.4521,0.8453,0.9467,0.2913,0.4965
ref_00341,2.3468,0.5512,0.5924,0.4268,0.8233,0.9127,0.2492,0.4573
ref_00342,3.4245,0.432,0.57,0.4251,0.8599,0.8702,0.3022,0.6166
ref_00343,3.9579,0.1298,0.5992,0.3622,0.8995,0.9835,0.2893,0.5134
ref_00344,3.5335,0.5542,0.6155,0.3795,0.9145,0.8674,0.2464,0.7065
ref_00345,2.275,0.3664,0.5903,0.41,0.8146,0.8343,0.293,0.49
ref_00346,3.5831,0.9403,0.5992,0.3849,0.8814,0.8844,0.2829,0.5245
ref_00347,2.7159,0.7485,0.581,0.4128,0.8266,0.8885,0.2526,0.5202
ref_00348,3.1096,0.0812,0.5356,0.4265,0.8969,0.9121,0.2377,0.3679
ref_00349,2.7335,0.5793,0.5883,0.4363,0.8491,0.9785,0.3532,0.5228
ref_00350,3.5828,0.6674,0.5555,0.3982,0.8527,0.9001,0.2722,0.5303
ref_00351,3.1062,0.9518,0.6048,0.4183,0.8338,0.9013,0.2273,0.5376
ref_00352,2.9076,0.1963,0.5927,0.3988,0.8694,0.9005,0.2482,0.4758
ref_00353,3.6184,1.0888,0.6387,0.3904,0.8915,0.9482,0.1895,0.5842
ref_00354,2.4885,0.7556,0.5724,0.4505,0.7999,0.9016,0.226,0.5227
ref_00355,2.7876,0.4624,0.5852,0.4187,0.8623,0.9199,0.2524,0.4986
ref_00356,3.3966,0.3438,0.5934,0.3945,0.8206,0.8967,0.2964,0.5087
ref_00357,3.7056,-0.0373,0.5693,0.3893,0.8744,0.8579,0.2692,0.5348
ref_00358,2.9578,-0.371,0.5282,0.3988,0.8165,0.8074,0.1552,0.5884
ref_00359,2.761,-0.299,0.4526,0.4303,0.8408,0.8488,0.1959,0.5153
ref_00360,3.7161,-0.0381,0.5605,0.3502,0.9117,0.7832,0.2855,0.4514
ref_00361,3.5427,0.6629,0.5389,0.4107,0.8756,0.9586,0.2849,0.5671
ref_00362,4.3347,1.2417,0.6564,0.3491,0.9707,0.7662,0.2431,0.5942
ref_00363,3.7373,1.4021,0.6428,0.3821,0.8561,0.9008,0.3161,0.5312
ref_00364,3.4589,0.3819,0.6291,0.3869,0.8567,0.9172,0.2711,0.5235
ref_00365,3.5104,0.7241,0.5732,0.3715,0.8909,0.9082,0.2339,0.4817
ref_00366,3.2441,-0.0623,0.5413,0.3929,0.8928,0.9571,0.292,0.521
ref_00367,3.7629,0.6421,0.5339,0.3451,0.9076,0.9356,0.2784,0.5325
ref_00368,3.4465,0.0601,0.6037,0.3616,0.9363,0.9533,0.2341,0.5541
ref_00369,2.5388,0.8286,0.5468,0.3914,0.8185,0.9694,0.222,0.5967
ref_00370,3.7255,0.9823,0.5641,0.3906,0.8768,0.9533,0.3273,0.5377
ref_00371,3.1641,0.0612,0.597,0.3726,0.8478,0.8539,0.1562,0.4805
ref_00372,2.5515,0.6636,0.6205,0.4391,0.8434,0.8574,0.2774,0.4924
ref_00373,2.9036,0.468,0.5868,0.4243,0.8599,0.8568,0.2043,0.619
ref_00374,3.45,-0.1601,0.5448,0.3952,0.8173,0.9019,0.2499,0.5517
ref_00375,3.6182,-0.6415,0.4755,0.4555,0.8558,0.8726,0.211,0.5177
ref_00376,3.5492,0.7595,0.5687,0.3923,0.8675,0.8265,0.2657,0.5236
ref_00377,3.6659,0.9712,0.5923,0.3377,0.864,0.8049,0.2326,0.5821
ref_00378,2.9625,0.8929,0.565,0.4194,0.7961,0.848,0.2193,0.5719
ref_00379,3.6869,0.8461,0.6202,0.3853,0.8842,0.8712,0.2406,0.5295
ref_00380,3.4012,0.3414,0.5901,0.4124,0.83,0.8827,0.2223,0.4638
ref_00381,3.1138,1.0714,0.5934,0.3666,0.887,0.9138,0.2773,0.5084
ref_00382,3.6615,0.5665,0.5577,0.3921,0.8579,0.9429,0.2508,0.5526
ref_00383,2.5088,0.1883,0.5245,0.4427,0.8225,0.8968,0.2172,0.4758
ref_00384,2.945,0.8886,0.6061,0.4281,0.8835,0.8361,0.318,0.4924
ref_00385,3.356,0.6811,0.5301,0.4306,0.8727,0.8157,0.2857,0.545
ref_00386,3.6871,0.3358,0.5356,0.4289,0.8672,0.9406,0.2572,0.4803
ref_00387,3.9839,0.5244,0.6176,0.397,0.9092,0.8843,0.246,0.4976
ref_00388,3.341,0.7713,0.5847,0.4524,0.8409,0.8525,0.314,0.5799
ref_00389,2.8216,0.306,0.5413,0.4283,0.8687,0.8794,0.1586,0.6346
ref_00390,2.9878,0.1209,0.5689,0.396,0.8265,0.9962,0.2955,0.556
ref_00391,3.4441,-0.0007,0.5787,0.4567,0.8436,0.9267,0.2822,0.4873
ref_00392,3.5988,0.4838,0.5561,0.3884,0.8598,0.942,0.2899,0.5381
ref_00393,3.9653,0.4345,0.6234,0.3939,0.874,0.8783,0.2315,0.5722
ref_00394,2.9808,0.5711,0.5692,0.4082,0.8277,0.8683,0.2055,0.4692
ref_00395,2.9409,0.2245,0.571,0.3907,0.8652,0.9464,0.2404,0.5003
ref_00396,3.7506,0.2371,0.5505,0.4121,0.8849,0.8449,0.222,0.4832
ref_00397,3.2017,0.1388,0.566,0.4137,0.8382,0.8685,0.2152,0.513
ref_00398,4.0814,-0.1162,0.4917,0.4268,0.9004,0.852,0.1959,0.5159
ref_00399,2.5264,0.6334,0.554,0.4546,0.8219,0.9113,0.3002,0.5627
ref_00400,3.8994,0.2736,0.6103,0.3759,0.8993,1.0,0.2602,0.4945
ref_00401,3.1742,0.7246,0.5368,0.3998,0.8507,0.9329,0.1904,0.5061
ref_00402,3.9825,0.8956,0.631,0.396,0.8894,0.9229,0.2733,0.4515
ref_00403,3.9399,0.6685,0.6076,0.4047,0.8918,0.8769,0.2783,0.5718
ref_00404,3.2208,0.293,0.5323,0.4559,0.8663,0.9476,0.2289,0.5433
ref_00405,3.0957,0.2682,0.5785,0.3812,0.8982,0.9303,0.2708,0.5238
ref_00406,3.1761,0.9376,0.6087,0.3816,0.8932,0.9286,0.2351,0.5371
ref_00407,2.4887,-0.0184,0.5638,0.4184,0.8116,0.9368,0.2027,0.4358
ref_00408,2.7622,0.6241,0.5775,0.3794,0.8343,0.9414,0.2128,0.5002
ref_00409,3.705,0.9329,0.5575,0.4075,0.8531,0.9357,0.3007,0.5194
ref_00410,3.4925,0.2425,0.478,0.4169,0.8439,0.9158,0.2623,0.563
ref_00411,3.7949,1.2778,0.6384,0.4135,0.8649,0.8947,0.2923,0.5325
ref_00412,3.1067,-0.0251,0.5658,0.4099,0.8933,0.8677,0.2916,0.508
ref_00413,2.9069,0.3995,0.5836,0.4383,0.8708,0.8746,0.2771,0.6213
ref_00414,3.2133,0.1353,0.5464,0.3774,0.9199,0.9094,0.2768,0.5796
ref_00415,3.7207,0.1367,0.5167,0.4253,0.8755,0.7921,0.2161,0.5549
ref_00416,3.5977,-0.3909,0.5301,0.3874,0.8774,0.9197,0.2592,0.4771
ref_00417,3.2459,0.376,0.6211,0.4256,0.8873,0.9032,0.3139,0.5548
ref_00418,3.5233,1.3247,0.6417,0.4255,0.9261,0.9738,0.2793,0.5168
ref_00419,3.6167,0.1469,0.5314,0.404,0.844,0.9259,0.2443,0.5272
ref_00420,2.5431,0.9723,0.6541,0.3657,0.8423,0.8276,0.2996,0.5412
ref_00421,3.1085,0.1832,0.504,0.3875,0.8991,0.9059,0.2533,0.5376
ref_00422,3.4543,0.2365,0.5727,0.3758,0.8532,0.8971,0.2967,0.4609
ref_00423,3.051,0.1192,0.506,0.4049,0.8637,0.8879,0.2283,0.4839
ref_00424,3.4444,-0.2156,0.5397,0.3987,0.8637,0.7911,0.2547,0.5748
ref_00425,3.7578,0.3236,0.5617,0.3838,0.8584,0.885,0.3153,0.532
ref_00426,2.5702,0.38,0.5012,0.4905,0.7642,0.911,0.2148,0.5165
ref_00427,3.8494,0.9586,0.5951,0.4069,0.8938,0.9487,0.2798,0.506
ref_00428,3.1296,0.7012,0.518,0.4258,0.8447,0.8728,0.2565,0.5011
ref_00429,3.6648,0.4472,0.4799,0.4098,0.8718,0.7923,0.2691,0.4782
ref_00430,2.6666,1.0068,0.6625,0.4016,0.8332,0.8799,0.2775,0.5496
ref_00431,2.5328,0.0522,0.557,0.4021,0.8471,0.8955,0.293,0.5363
ref_00432,1.9156,0.049,0.6009,0.4603,0.7684,0.8759,0.2926,0.5754
ref_00433,3.1129,0.392,0.5443,0.4575,0.8355,0.883,0.3674,0.5264
ref_00434,2.9195,-0.1309,0.5423,0.4283,0.8448,0.9269,0.278,0.4535
ref_00435,2.9971,0.7918,0.5628,0.4443,0.8402,0.8062,0.2315,0.4911
ref_00436,2.8395,0.3209,0.5415,0.4045,0.8265,0.8722,0.2491,0.5237
ref_00437,3.0614,0.8586,0.5806,0.4049,0.85,0.919,0.259,0.4741
ref_00438,3.1634,1.4327,0.6467,0.3719,0.8653,0.8928,0.1649,0.5213
ref_00439,2.4941,0.2702,0.5699,0.3663,0.8007,0.8875,0.2801,0.5821
ref_00440,-2.7549,0.1471,0.5259,0.7225,0.1802,0.2788,0.3378,0.1764
ref_00441,-3.4443,-0.3455,0.5206,0.7137,0.127,0.196,0.2667,0.2298
ref_00442,-3.3195,-0.5088,0.4688,0.6672,0.1745,0.1401,0.1825,0.1179
ref_00443,-2.7703,0.1565,0.5454,0.7346,0.1604,0.2369,0.2293,0.2476
ref_00444,-2.6123,0.3664,0.508,0.7086,0.2012,0.2888,0.3545,0.2795
ref_00445,-2.831,-0.3107,0.5216,0.7125,0.1214,0.238,0.3352,0.1687
ref_00446,-4.2212,-0.7286,0.4647,0.7813,0.0457,0.2514,0.3316,0.2318
ref_00447,-4.6116,0.4637,0.4935,0.6878,0.0078,0.1507,0.1912,0.2031
ref_00448,-3.5104,0.3592,0.4756,0.6916,0.1039,0.1325,0.251,0.183
ref_00449,-2.8167,0.6719,0.5463,0.6994,0.1477,0.2887,0.3115,0.1607
ref_00450,-2.969,-0.5185,0.4865,0.7251,0.1466,0.2395,0.2005,0.1958
ref_00451,-3.0301,-0.2255,0.5242,0.7229,0.1441,0.2585,0.2571,0.1959
ref_00452,-3.8535,-0.547,0.5047,0.7468,0.0363,0.1976,0.252,0.2493
ref_00453,-3.5801,0.1421,0.4576,0.6771,0.1593,0.1676,0.2918,0.2096
ref_00454,-3.299,0.7123,0.5621,0.6981,0.1395,0.2045,0.287,0.2374
ref_00455,-3.5127,0.2084,0.5346,0.7162,0.1323,0.2314,0.3323,0.2697
ref_00456,-2.8381,0.0601,0.5822,0.6765,0.2313,0.2509,0.3227,0.261
ref_00457,-3.7295,0.3672,0.5309,0.7131,0.1271,0.201,0.2743,0.1591
ref_00458,-3.0264,-0.0588,0.5291,0.6847,0.2016,0.3017,0.3528,0.1946
ref_00459,-3.0732,0.8305,0.5508,0.7074,0.1367,0.271,0.2971,0.2353
ref_00460,-3.6516,-0.0119,0.5195,0.7183,0.1227,0.2859,0.2371,0.2709
ref_00461,-4.1577,0.1353,0.5855,0.7612,0.0782,0.2339,0.3054,0.2419
ref_00462,-3.9792,0.4191,0.5323,0.7111,0.1148,0.2166,0.2094,0.1913
ref_00463,-3.2942,0.216,0.5692,0.7011,0.1096,0.2102,0.2311,0.2404
ref_00464,-3.2686,0.6055,0.5257,0.7054,0.1391,0.3323,0.3051,0.2394
ref_00465,-4.3995,0.2041,0.5146,0.7257,0.0692,0.1314,0.3238,0.1904
ref_00466,-4.0267,-0.4847,0.4873,0.7148,0.1043,0.2099,0.2693,0.2403
ref_00467,-2.438,0.223,0.5171,0.6731,0.1699,0.2923,0.3164,0.2754
ref_00468,-2.8307,0.5198,0.4943,0.6891,0.1523,0.2019,0.3272,0.2514
ref_00469,-3.1101,-0.5759,0.4642,0.6757,0.1434,0.2708,0.2219,0.179
ref_00470,-3.2747,0.6823,0.5182,0.6866,0.1235,0.2035,0.2637,0.2355
ref_00471,-2.7755,0.5421,0.5932,0.6401,0.2088,0.2327,0.2608,0.2192
ref_00472,-2.9702,0.482,0.578,0.7447,0.1382,0.1909,0.2656,0.1649
ref_00473,-2.8865,0.6718,0.5638,0.7004,0.1777,0.3826,0.3154,0.2304
ref_00474,-3.2012,0.9919,0.5873,0.7065,0.1521,0.2998,0.3328,0.2162
ref_00475,-2.804,-0.3354,0.4922,0.699,0.1718,0.2411,0.2458,0.2315
ref_00476,-3.2883,-0.0074,0.5009,0.7196,0.1153,0.2226,0.2803,0.2312
ref_00477,-3.1262,-0.1339,0.5724,0.6821,0.2002,0.2933,0.2685,0.1467
ref_00478,-4.5545,0.1158,0.4614,0.7191,0.0328,0.111,0.2761,0.1624
ref_00479,-3.379,0.2375,0.5023,0.7097,0.1757,0.225,0.3229,0.179
ref_00480,-3.3679,-0.548,0.4583,0.7301,0.1432,0.2313,0.2504,0.1618
ref_00481,-2.9586,0.6691,0.589,0.7098,0.1651,0.3016,0.2656,0.246
ref_00482,-2.5703,0.4812,0.5007,0.7108,0.1887,0.17,0.3232,0.1531
ref_00483,-3.0691,0.0755,0.4696,0.7043,0.132,0.1785,0.2758,0.2209
ref_00484,-3.378,0.2585,0.4544,0.7382,0.1024,0.24,0.2816,0.1333
ref_00485,-3.383,0.6654,0.5123,0.7248,0.1578,0.2739,0.3062,0.1855
ref_00486,-2.5514,-0.0391,0.5295,0.6933,0.2139,0.2021,0.3157,0.2877
ref_00487,-2.6281,0.28,0.5507,0.7252,0.1543,0.2421,0.2713,0.2204
ref_00488,-3.2804,0.0961,0.5466,0.6881,0.127,0.1652,0.2195,0.1753
ref_00489,-4.1892,0.2246,0.5868,0.6838,0.0959,0.2317,0.3172,0.2598
ref_00490,-3.3889,0.299,0.5545,0.7012,0.1254,0.3399,0.3633,0.2591
ref_00491,-3.4693,-0.4979,0.4999,0.7132,0.0754,0.177,0.2052,0.211
ref_00492,-3.0705,0.6535,0.573,0.6786,0.1359,0.2782,0.3034,0.1996
ref_00493,-2.9526,-0.0087,0.5802,0.6685,0.232,0.2548,0.3074,0.2122
ref_00494,-3.1223,0.4175,0.4905,0.7242,0.0973,0.2154,0.1746,0.1775
ref_00495,-2.9377,-0.4038,0.4513,0.6832,0.1306,0.1819,0.2906,0.2225
ref_00496,-2.5511,-0.4043,0.4833,0.7316,0.1717,0.2753,0.1923,0.1686
ref_00497,-3.6833,-0.2332,0.5274,0.6821,0.1426,0.215,0.3284,0.2558
ref_00498,-3.2827,0.2073,0.5773,0.6349,0.0706,0.2154,0.2659,0.1685
ref_00499,-3.3371,0.141,0.5324,0.6874,0.1786,0.275,0.2449,0.1878
ref_00500,-4.2044,0.0535,0.5207,0.703,0.0817,0.2254,0.288,0.2701
ref_00501,-2.196,-0.2558,0.5553,0.6523,0.1924,0.1735,0.2923,0.181
ref_00502,-3.1122,-0.2679,0.4833,0.7209,0.1665,0.2638,0.2674,0.2118
ref_00503,-3.8073,-0.1333,0.4643,0.6692,0.0982,0.1233,0.197,0.1618
ref_00504,-4.1386,0.5081,0.4938,0.7025,0.0985,0.1396,0.3352,0.1986
ref_00505,-3.8686,0.035,0.554,0.6917,0.1011,0.2316,0.3182,0.1609
ref_00506,-2.0453,0.2484,0.5611,0.6811,0.2142,0.2114,0.2727,0.2561
ref_00507,-3.2534,0.2018,0.5918,0.6896,0.0782,0.3363,0.3365,0.2893
ref_00508,-3.4009,-0.8963,0.4395,0.7263,0.1528,0.2682,0.2946,0.2058
ref_00509,-3.0598,0.0082,0.5789,0.6786,0.1571,0.1938,0.2539,0.2077
ref_00510,-3.7644,-0.1416,0.5327,0.7489,0.0923,0.3389,0.2709,0.182
ref_00511,-3.3545,-0.2283,0.4644,0.7322,0.0968,0.3082,0.2885,0.1907
ref_00512,-2.2043,0.0335,0.5936,0.6968,0.1912,0.1431,0.2656,0.2983
ref_00513,-3.672,-0.7199,0.4668,0.7186,0.1397,0.1234,0.2289,0.1403
ref_00514,-2.8772,0.7559,0.5942,0.7498,0.145,0.0655,0.204,0.2038
ref_00515,-2.2594,0.8679,0.5983,0.6272,0.2402,0.2612,0.2606,0.312
ref_00516,-2.6222,-0.3457,0.5303,0.6849,0.1926,0.1727,0.2716,0.1745
ref_00517,-3.4619,0.1345,0.5911,0.6799,0.1464,0.3084,0.2998,0.1938
ref_00518,-3.5675,-0.4044,0.514,0.7726,0.0855,0.2699,0.2813,0.2155
ref_00519,-3.0987,0.7196,0.5699,0.659,0.1963,0.2518,0.3248,0.273
ref_00520,-3.0026,0.4986,0.5426,0.6737,0.1586,0.2429,0.3835,0.2318
ref_00521,-4.1743,-0.8097,0.4548,0.7492,0.0986,0.1779,0.2349,0.1587
ref_00522,-3.1126,0.3036,0.6089,0.6329,0.1647,0.2267,0.282,0.2452
ref_00523,-2.3513,-0.1004,0.5575,0.6457,0.2145,0.3987,0.3031,0.2903
ref_00524,-3.9657,0.2291,0.5384,0.7291,0.1157,0.1927,0.3497,0.2345
ref_00525,-3.835,0.6846,0.5625,0.6748,0.0714,0.2922,0.3066,0.2302
ref_00526,-2.4519,-0.3532,0.5164,0.6645,0.2279,0.3446,0.2917,0.2794
ref_00527,-2.9533,0.8209,0.5663,0.6879,0.1707,0.2695,0.2994,0.2432
ref_00528,-3.6962,0.0957,0.572,0.6924,0.0979,0.1888,0.1472,0.2547
ref_00529,-3.0434,-0.1892,0.5348,0.7229,0.1517,0.2793,0.262,0.1241
ref_00530,-3.2243,0.2589,0.4727,0.7029,0.1089,0.1534,0.2038,0.2306
ref_00531,-3.4922,0.3418,0.5282,0.6969,0.1644,0.1513,0.2597,0.1988
ref_00532,-2.5402,0.1283,0.517,0.6989,0.1575,0.2062,0.3081,0.1647
ref_00533,-3.6894,0.0001,0.5171,0.7267,0.1131,0.1672,0.2151,0.2023
ref_00534,-3.4443,0.4887,0.5085,0.7399,0.0699,0.2805,0.3087,0.1675
ref_00535,-3.749,-0.2269,0.4598,0.737,0.144,0.2234,0.2843,0.137
ref_00536,-2.1966,0.1298,0.5633,0.7073,0.2187,0.2709,0.3087,0.2279
ref_00537,-2.9995,0.5777,0.5646,0.6788,0.1483,0.2832,0.2837,0.2475
ref_00538,-3.6765,0.6879,0.5181,0.6712,0.1475,0.3211,0.3154,0.2202
ref_00539,-3.0245,-0.339,0.5401,0.6887,0.1747,0.2578,0.2861,0.2695
ref_00540,-3.082,0.3313,0.5625,0.6958,0.1783,0.2587,0.3032,0.23
ref_00541,-3.1592,0.7958,0.5429,0.6744,0.1478,0.2624,0.2967,0.3057
ref_00542,-3.8947,0.3416,0.5308,0.7366,0.1223,0.185,0.2459,0.2475
ref_00543,-3.3775,-0.4683,0.4982,0.7137,0.1245,0.1512,0.2923,0.2214
ref_00544,-3.1824,0.4925,0.5024,0.6983,0.1113,0.2772,0.2886,0.2066
ref_00545,-3.0272,0.3367,0.5595,0.7307,0.1021,0.2964,0.2902,0.2195
ref_00546,-4.0095,0.3963,0.472,0.7324,0.1041,0.3031,0.3448,0.2238
ref_00547,-2.8644,-0.1612,0.5385,0.7177,0.1265,0.1977,0.3103,0.1931
ref_00548,-3.1461,-0.1369,0.532,0.6961,0.1699,0.2285,0.3081,0.23
ref_00549,-3.1452,0.3699,0.5555,0.7121,0.119,0.254,0.311,0.1732
ref_00550,-3.6009,-0.321,0.5365,0.6693,0.1631,0.2794,0.2897,0.201
ref_00551,-3.7552,0.3816,0.5326,0.6927,0.1371,0.2126,0.251,0.2347
ref_00552,-3.1471,-0.4374,0.4852,0.6645,0.1775,0.264,0.196,0.2157
ref_00553,-3.5032,0.3539,0.5084,0.6868,0.1556,0.2534,0.2816,0.1892
ref_00554,-3.2541,0.3852,0.5664,0.7011,0.0911,0.1718,0.232,0.1996
ref_00555,-3.3128,0.6372,0.5445,0.6926,0.1905,0.2912,0.3231,0.2851
ref_00556,-2.4897,1.0527,0.5977,0.6722,0.1849,0.0838,0.2776,0.1597
ref_00557,-3.3595,0.4755,0.4876,0.6901,0.1777,0.1522,0.1816,0.2033
ref_00558,-2.895,-0.3998,0.5288,0.7428,0.1375,0.3068,0.2948,0.2285
ref_00559,-3.7385,0.1246,0.526,0.6619,0.0603,0.2098,0.2734,0.2046
ref_00560,-3.2974,0.0129,0.5928,0.6915,0.1122,0.1415,0.3037,0.2335
ref_00561,-2.9916,-0.3888,0.4875,0.7555,0.1456,0.268,0.3161,0.1836
ref_00562,-2.8559,-0.1485,0.5442,0.6829,0.215,0.2558,0.3164,0.2017
ref_00563,-2.9706,-0.2784,0.5044,0.7173,0.12,0.1898,0.3069,0.1497
ref_00564,-2.7748,-0.1469,0.5173,0.6957,0.1659,0.2244,0.323,0.2123
ref_00565,-2.6866,0.8514,0.5474,0.6678,0.2113,0.3089,0.352,0.2421
ref_00566,-3.2805,0.5256,0.5082,0.6979,0.1414,0.2311,0.3037,0.2349
ref_00567,-3.4003,0.6638,0.5527,0.6673,0.1455,0.2948,0.323,0.206
ref_00568,-2.8889,0.4624,0.4945,0.6961,0.1952,0.195,0.2807,0.1688
ref_00569,-3.0552,0.2719,0.5201,0.7072,0.1341,0.2669,0.2606,0.2145
ref_00570,-3.0224,0.7496,0.5581,0.6859,0.1677,0.2657,0.2958,0.1648
ref_00571,-2.548,-0.1987,0.5478,0.6633,0.18,0.292,0.3444,0.2913
ref_00572,-2.9723,0.2843,0.5638,0.7072,0.175,0.272,0.3094,0.1759
ref_00573,-3.3698,-0.1433,0.4952,0.7029,0.1297,0.2626,0.2699,0.2633
ref_00574,-3.5118,0.0648,0.508,0.6953,0.1536,0.2725,0.2742,0.1826
ref_00575,-3.6308,-0.3982,0.4792,0.7187,0.1095,0.2255,0.316,0.1985
ref_00576,-2.8961,-0.0474,0.5401,0.6584,0.2116,0.2748,0.2754,0.2335
ref_00577,-2.4359,0.9355,0.5689,0.6643,0.1921,0.2941,0.259,0.1975
ref_00578,-4.0575,0.8681,0.5595,0.7049,0.0918,0.2887,0.3399,0.197
ref_00579,-3.4053,-0.5165,0.5115,0.6871,0.1263,0.2763,0.2959,0.2846
ref_00580,-3.6,-0.4439,0.4902,0.7224,0.061,0.184,0.3091,0.1372
ref_00581,-2.4955,0.4706,0.5408,0.6804,0.1881,0.2683,0.3262,0.2782
ref_00582,-3.0629,-0.7219,0.4425,0.7379,0.1567,0.1342,0.2925,0.1827
ref_00583,-3.4046,0.0457,0.5168,0.7081,0.1398,0.2306,0.297,0.2311
ref_00584,-3.2909,0.3259,0.5708,0.7235,0.179,0.2019,0.3327,0.1924
ref_00585,-2.9854,0.7975,0.5384,0.6916,0.1399,0.2446,0.2473,0.227
ref_00586,-4.4166,-0.3872,0.4923,0.7086,0.0676,0.134,0.2489,0.2697
ref_00587,-3.5349,0.1615,0.5645,0.7084,0.1198,0.2598,0.2537,0.2076
ref_00588,-3.3906,0.5054,0.5534,0.695,0.1763,0.3659,0.3154,0.2505
ref_00589,-3.8846,-0.0997,0.5442,0.6923,0.1339,0.173,0.2699,0.2235
ref_00590,-3.4489,0.2701,0.5566,0.7165,0.1375,0.348,0.2884,0.2451
ref_00591,-2.8941,-0.1327,0.5145,0.7082,0.1562,0.1601,0.2713,0.1984
ref_00592,-3.9573,-0.2156,0.4592,0.7159,0.086,0.2158,0.247,0.2089
ref_00593,-2.5247,0.6249,0.5708,0.6834,0.1765,0.28,0.3274,0.3123
ref_00594,-2.8143,0.0636,0.5353,0.7116,0.1733,0.2361,0.3025,0.2374
ref_00595,-2.8831,0.2489,0.5654,0.6732,0.1679,0.2243,0.2411,0.209
ref_00596,-3.9273,-0.5278,0.5037,0.6915,0.1227,0.2612,0.2788,0.1997
ref_00597,-3.271,-0.2542,0.5569,0.7044,0.1579,0.2785,0.2874,0.2175
