cell,cell_type,tex_state,species,modality,study
ref_00367,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00368,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00369,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00370,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00371,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00372,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00373,Effector,Effector,mouse,scRNA,CART_relapse_2024
ref_00374,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00375,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00376,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00377,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00378,Effector,Effector,mouse,scRNA,Melanoma_ICB_2023
ref_00379,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00380,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00381,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00382,Effector,Effector,human,scRNA,LCMV_chronic_2023
ref_00383,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00384,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00385,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00386,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00387,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00388,Effector,Effector,human,scRNA,LCMV_chronic_2023
ref_00389,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00390,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00391,Effector,Effector,mouse,scRNA,Melanoma_ICB_2023
ref_00392,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00393,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00394,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00395,Effector,Effector,mouse,scRNA,LCMV_chronic_2023
ref_00396,Effector,Effector,human,scRNA,LCMV_chronic_2023
ref_00397,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00398,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00399,Effector,Effector,human,scRNA,HCC_human_2024
ref_00400,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00401,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00402,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00403,Effector,Effector,human,scRNA,HCC_human_2024
ref_00404,Effector,Effector,mouse,scRNA,Melanoma_ICB_2023
ref_00405,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00406,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00407,Effector,Effector,mouse,scRNA,CART_relapse_2024
ref_00408,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00409,Effector,Effector,human,scRNA,LCMV_chronic_2023
ref_00410,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00411,Effector,Effector,mouse,scRNA,LCMV_chronic_2023
ref_00412,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00413,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00414,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00415,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00416,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00417,Effector,Effector,human,scRNA,LCMV_chronic_2023
ref_00418,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00419,Effector,Effector,human,scRNA,LCMV_chronic_2023
ref_00420,Effector,Effector,human,scRNA,LCMV_chronic_2023
ref_00421,Effector,Effector,mouse,scRNA,Melanoma_ICB_2023
ref_00422,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00423,Effector,Effector,human,scRNA,LCMV_chronic_2023
ref_00424,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00425,Effector,Effector,mouse,scRNA,B16_tumor_2022
ref_00426,Effector,Effector,mouse,scRNA,CART_relapse_2024
ref_00427,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00428,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00429,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00430,Effector,Effector,mouse,scRNA,CART_relapse_2024
ref_00431,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00432,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00433,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00434,Effector,Effector,human,scRNA,B16_tumor_2022
ref_00435,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00436,Effector,Effector,human,scRNA,Melanoma_ICB_2023
ref_00437,Effector,Effector,human,scRNA,CART_relapse_2024
ref_00438,Effector,Effector,mouse,scRNA,Melanoma_ICB_2023
ref_00439,Effector,Effector,mouse,scRNA,HCC_human_2024
ref_00440,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,CART_relapse_2024
ref_00441,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,Melanoma_ICB_2023
ref_00442,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,B16_tumor_2022
ref_00443,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,B16_tumor_2022
ref_00444,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,LCMV_chronic_2023
ref_00445,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,Melanoma_ICB_2023
ref_00446,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,LCMV_chronic_2023
ref_00447,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,Melanoma_ICB_2023
ref_00448,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,B16_tumor_2022
ref_00449,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,LCMV_chronic_2023
ref_00450,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,CART_relapse_2024
ref_00451,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,B16_tumor_2022
ref_00452,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,Melanoma_ICB_2023
ref_00453,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00454,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,B16_tumor_2022
ref_00455,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,CART_relapse_2024
ref_00456,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,CART_relapse_2024
ref_00457,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,B16_tumor_2022
ref_00458,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00459,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00460,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,LCMV_chronic_2023
ref_00461,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,CART_relapse_2024
ref_00462,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,Melanoma_ICB_2023
ref_00463,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,HCC_human_2024
ref_00464,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00465,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00466,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,B16_tumor_2022
ref_00467,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,Melanoma_ICB_2023
ref_00468,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,B16_tumor_2022
ref_00469,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,LCMV_chronic_2023
ref_00470,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,B16_tumor_2022
ref_00471,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,B16_tumor_2022
ref_00472,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,Melanoma_ICB_2023
ref_00473,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,Melanoma_ICB_2023
ref_00474,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,CART_relapse_2024
ref_00475,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,CART_relapse_2024
ref_00476,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,Melanoma_ICB_2023
ref_00477,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,LCMV_chronic_2023
ref_00478,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,B16_tumor_2022
ref_00479,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,B16_tumor_2022
ref_00480,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,CART_relapse_2024
ref_00481,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,B16_tumor_2022
ref_00482,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,HCC_human_2024
ref_00483,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,LCMV_chronic_2023
ref_00484,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,HCC_human_2024
ref_00485,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,LCMV_chronic_2023
ref_00486,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,Melanoma_ICB_2023
ref_00487,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,Melanoma_ICB_2023
ref_00488,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00489,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,Melanoma_ICB_2023
ref_00490,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,CART_relapse_2024
ref_00491,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,Melanoma_ICB_2023
ref_00492,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,Melanoma_ICB_2023
ref_00493,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,LCMV_chronic_2023
ref_00494,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00495,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00496,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,LCMV_chronic_2023
ref_00497,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,CART_relapse_2024
ref_00498,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,CART_relapse_2024
ref_00499,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,B16_tumor_2022
ref_00500,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,Melanoma_ICB_2023
ref_00501,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00502,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,CART_relapse_2024
ref_00503,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,CART_relapse_2024
ref_00504,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,LCMV_chronic_2023
ref_00505,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,LCMV_chronic_2023
ref_00506,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00507,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,Melanoma_ICB_2023
ref_00508,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,B16_tumor_2022
ref_00509,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,CART_relapse_2024
ref_00510,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00511,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,LCMV_chronic_2023
ref_00512,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,Melanoma_ICB_2023
ref_00513,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,CART_relapse_2024
ref_00514,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,Melanoma_ICB_2023
ref_00515,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,LCMV_chronic_2023
ref_00516,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,LCMV_chronic_2023
ref_00517,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,LCMV_chronic_2023
ref_00518,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,HCC_human_2024
ref_00519,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,HCC_human_2024
ref_00520,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,CART_relapse_2024
ref_00521,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,B16_tumor_2022
ref_00522,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,Melanoma_ICB_2023
ref_00523,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,LCMV_chronic_2023
ref_00524,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,LCMV_chronic_2023
ref_00525,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00526,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,LCMV_chronic_2023
ref_00527,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,LCMV_chronic_2023
ref_00528,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,B16_tumor_2022
ref_00529,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,Melanoma_ICB_2023
ref_00530,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,LCMV_chronic_2023
ref_00531,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,B16_tumor_2022
ref_00532,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,B16_tumor_2022
ref_00533,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,B16_tumor_2022
ref_00534,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00535,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,CART_relapse_2024
ref_00536,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00537,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,B16_tumor_2022
ref_00538,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00539,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00540,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,CART_relapse_2024
ref_00541,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,B16_tumor_2022
ref_00542,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,Melanoma_ICB_2023
ref_00543,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,Melanoma_ICB_2023
ref_00544,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00545,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,B16_tumor_2022
ref_00546,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,Melanoma_ICB_2023
ref_00547,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,CART_relapse_2024
ref_00548,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00549,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,B16_tumor_2022
ref_00550,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,B16_tumor_2022
ref_00551,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,B16_tumor_2022
ref_00552,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,B16_tumor_2022
ref_00553,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00554,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,B16_tumor_2022
ref_00555,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,CART_relapse_2024
ref_00556,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,B16_tumor_2022
ref_00557,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,CART_relapse_2024
ref_00558,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,Melanoma_ICB_2023
ref_00559,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,Melanoma_ICB_2023
ref_00560,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00561,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,LCMV_chronic_2023
ref_00562,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,CART_relapse_2024
ref_00563,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00564,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,HCC_human_2024
ref_00565,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00566,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,HCC_human_2024
ref_00567,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,CART_relapse_2024
ref_00568,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,LCMV_chronic_2023
ref_00569,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,CART_relapse_2024
ref_00570,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,Melanoma_ICB_2023
ref_00571,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,HCC_human_2024
ref_00572,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,B16_tumor_2022
ref_00573,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00574,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,HCC_human_2024
ref_00575,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00576,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,Melanoma_ICB_2023
ref_00577,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,Melanoma_ICB_2023
ref_00578,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,CART_relapse_2024
ref_00579,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,LCMV_chronic_2023
ref_00580,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,Melanoma_ICB_2023
ref_00581,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,Melanoma_ICB_2023
ref_00582,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,B16_tumor_2022
ref_00583,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,LCMV_chronic_2023
ref_00584,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,Melanoma_ICB_2023
ref_00585,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,B16_tumor_2022
ref_00586,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,B16_tumor_2022
ref_00587,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00588,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,CART_relapse_2024
ref_00589,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00590,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00591,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,CART_relapse_2024
ref_00592,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,CART_relapse_2024
ref_00593,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,LCMV_chronic_2023
ref_00594,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,HCC_human_2024
ref_00595,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,Melanoma_ICB_2023
ref_00596,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,CART_relapse_2024
ref_00597,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,LCMV_chronic_2023
ref_00598,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00599,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,B16_tumor_2022
ref_00600,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,B16_tumor_2022
ref_00601,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,Melanoma_ICB_2023
ref_00602,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,CART_relapse_2024
ref_00603,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,CART_relapse_2024
ref_00604,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00605,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,CART_relapse_2024
ref_00606,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,LCMV_chronic_2023
ref_00607,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,HCC_human_2024
ref_00608,Tpex (progenitor exhausted),Tpex (progenitor exhausted),mouse,scRNA,Melanoma_ICB_2023
ref_00609,Tpex (progenitor exhausted),Tpex (progenitor exhausted),human,scRNA,LCMV_chronic_2023
ref_00610,Tex-intermediate,Tex-intermediate,human,scRNA,LCMV_chronic_2023
ref_00611,Tex-intermediate,Tex-intermediate,mouse,scRNA,CART_relapse_2024
ref_00612,Tex-intermediate,Tex-intermediate,human,scRNA,CART_relapse_2024
ref_00613,Tex-intermediate,Tex-intermediate,human,scRNA,B16_tumor_2022
ref_00614,Tex-intermediate,Tex-intermediate,human,scRNA,CART_relapse_2024
ref_00615,Tex-intermediate,Tex-intermediate,human,scRNA,LCMV_chronic_2023
ref_00616,Tex-intermediate,Tex-intermediate,human,scRNA,Melanoma_ICB_2023
ref_00617,Tex-intermediate,Tex-intermediate,mouse,scRNA,HCC_human_2024
ref_00618,Tex-intermediate,Tex-intermediate,mouse,scRNA,CART_relapse_2024
ref_00619,Tex-intermediate,Tex-intermediate,human,scRNA,HCC_human_2024
ref_00620,Tex-intermediate,Tex-intermediate,human,scRNA,HCC_human_2024
ref_00621,Tex-intermediate,Tex-intermediate,human,scRNA,LCMV_chronic_2023
ref_00622,Tex-intermediate,Tex-intermediate,mouse,scRNA,B16_tumor_2022
ref_00623,Tex-intermediate,Tex-intermediate,mouse,scRNA,CART_relapse_2024
ref_00624,Tex-intermediate,Tex-intermediate,human,scRNA,LCMV_chronic_2023
ref_00625,Tex-intermediate,Tex-intermediate,human,scRNA,LCMV_chronic_2023
ref_00626,Tex-intermediate,Tex-intermediate,mouse,scRNA,CART_relapse_2024
ref_00627,Tex-intermediate,Tex-intermediate,mouse,scRNA,HCC_human_2024
ref_00628,Tex-intermediate,Tex-intermediate,human,scRNA,LCMV_chronic_2023
ref_00629,Tex-intermediate,Tex-intermediate,mouse,scRNA,B16_tumor_2022
ref_00630,Tex-intermediate,Tex-intermediate,human,scRNA,B16_tumor_2022
ref_00631,Tex-intermediate,Tex-intermediate,mouse,scRNA,Melanoma_ICB_2023
ref_00632,Tex-intermediate,Tex-intermediate,human,scRNA,Melanoma_ICB_2023
ref_00633,Tex-intermediate,Tex-intermediate,human,scRNA,LCMV_chronic_2023
ref_00634,Tex-intermediate,Tex-intermediate,human,scRNA,CART_relapse_2024
ref_00635,Tex-intermediate,Tex-intermediate,human,scRNA,Melanoma_ICB_2023
ref_00636,Tex-intermediate,Tex-intermediate,human,scRNA,LCMV_chronic_2023
ref_00637,Tex-intermediate,Tex-intermediate,human,scRNA,CART_relapse_2024
ref_00638,Tex-intermediate,Tex-intermediate,human,scRNA,LCMV_chronic_2023
ref_00639,Tex-intermediate,Tex-intermediate,human,scRNA,Melanoma_ICB_2023
ref_00640,Tex-intermediate,Tex-intermediate,mouse,scRNA,B16_tumor_2022
ref_00641,Tex-intermediate,Tex-intermediate,human,scRNA,B16_tumor_2022
ref_00642,Tex-intermediate,Tex-intermediate,human,scRNA,B16_tumor_2022
ref_00643,Tex-intermediate,Tex-intermediate,mouse,scRNA,LCMV_chronic_2023
ref_00644,Tex-intermediate,Tex-intermediate,mouse,scRNA,HCC_human_2024
ref_00645,Tex-intermediate,Tex-intermediate,human,scRNA,Melanoma_ICB_2023
ref_00646,Tex-intermediate,Tex-intermediate,human,scRNA,LCMV_chronic_2023
ref_00647,Tex-intermediate,Tex-intermediate,mouse,scRNA,HCC_human_2024
ref_00648,Tex-intermediate,Tex-intermediate,mouse,scRNA,B16_tumor_2022
ref_00649,Tex-intermediate,Tex-intermediate,mouse,scRNA,HCC_human_2024
ref_00650,Tex-intermediate,Tex-intermediate,human,scRNA,LCMV_chronic_2023
ref_00651,Tex-intermediate,Tex-intermediate,human,scRNA,Melanoma_ICB_2023
ref_00652,Tex-intermediate,Tex-intermediate,mouse,scRNA,HCC_human_2024
ref_00653,Tex-intermediate,Tex-intermediate,human,scRNA,Melanoma_ICB_2023
ref_00654,Tex-intermediate,Tex-intermediate,human,scRNA,LCMV_chronic_2023
ref_00655,Tex-intermediate,Tex-intermediate,mouse,scRNA,Melanoma_ICB_2023
ref_00656,Tex-intermediate,Tex-intermediate,mouse,scRNA,LCMV_chronic_2023
ref_00657,Tex-intermediate,Tex-intermediate,mouse,scRNA,CART_relapse_2024
ref_00658,Tex-intermediate,Tex-intermediate,human,scRNA,Melanoma_ICB_2023
ref_00659,Tex-intermediate,Tex-intermediate,human,scRNA,Melanoma_ICB_2023
ref_00660,Tex-intermediate,Tex-intermediate,mouse,scRNA,HCC_human_2024
ref_00661,Tex-intermediate,Tex-intermediate,human,scRNA,HCC_human_2024
ref_00662,Tex-intermediate,Tex-intermediate,human,scRNA,LCMV_chronic_2023
ref_00663,Tex-intermediate,Tex-intermediate,human,scRNA,Melanoma_ICB_2023
ref_00664,Tex-intermediate,Tex-intermediate,mouse,scRNA,Melanoma_ICB_2023
ref_00665,Tex-intermediate,Tex-intermediate,human,scRNA,Melanoma_ICB_2023
ref_00666,Tex-intermediate,Tex-intermediate,mouse,scRNA,Melanoma_ICB_2023
ref_00667,Tex-intermediate,Tex-intermediate,mouse,scRNA,CART_relapse_2024
ref_00668,Tex-intermediate,Tex-intermediate,human,scRNA,HCC_human_2024
ref_00669,Tex-intermediate,Tex-intermediate,human,scRNA,HCC_human_2024
ref_00670,Tex-intermediate,Tex-intermediate,mouse,scRNA,HCC_human_2024
ref_00671,Tex-intermediate,Tex-intermediate,human,scRNA,LCMV_chronic_2023
