cell,BACH2,BATF,BIRC5,CCR7,CD160,CDK1,CTLA4,CX3CR1,DNMT3A,EGR2,ENTPD1,GNLY,GZMB,GZMK,HAVCR2,IFNG,IKZF2,IL7R,KLRD1,KLRG1,LAG3,LEF1,MKI67,NKG7,NR4A1,NR4A2,NR4A3,PCNA,PDCD1,PRDM1,PRF1,SELL,SLAMF6,STMN1,TBX21,TCF7,TIGIT,TOP2A,TOX
ref_00282,3.958,3.958,3.958,3.562,3.562,3.958,3.562,6.531,3.958,4.241,4.241,4.241,6.505,6.308,3.958,6.648,3.958,3.958,6.276,3.562,3.562,3.562,3.562,6.453,2.897,4.241,3.958,3.562,3.562,3.958,6.733,4.241,3.562,3.958,7.0,3.958,3.562,3.562,3.562
ref_00283,2.982,3.649,3.649,2.982,3.649,3.649,3.649,6.228,3.649,3.649,3.649,2.982,6.366,6.487,3.649,6.428,2.982,2.982,6.299,3.649,3.649,3.649,3.649,6.738,3.649,2.982,3.649,2.982,3.649,2.982,5.706,3.649,2.982,3.649,6.333,2.982,3.649,3.649,2.982
ref_00284,3.856,3.461,3.461,3.856,4.139,3.461,3.856,6.265,3.461,3.461,3.856,3.856,6.588,7.107,3.856,6.322,3.856,3.856,6.035,3.461,3.856,3.856,3.461,6.349,3.856,3.856,3.856,4.139,3.461,4.359,6.815,4.139,3.856,4.139,6.522,3.461,3.856,4.139,3.856
ref_00285,3.628,3.628,4.024,4.024,3.628,2.961,3.628,6.436,3.628,3.628,3.628,4.024,6.465,6.573,2.961,6.168,3.628,3.628,6.547,2.961,3.628,4.024,3.628,6.088,3.628,3.628,3.628,3.628,4.024,4.024,6.311,4.024,3.628,4.024,6.343,3.628,3.628,4.024,2.961
ref_00286,3.762,4.043,4.043,3.368,4.043,3.762,4.043,6.043,3.762,3.762,4.043,3.762,6.402,6.931,4.263,6.784,4.043,3.762,6.138,3.762,3.762,4.043,3.762,6.225,3.368,3.762,3.368,3.762,3.762,3.762,6.815,4.263,3.368,3.368,6.379,3.762,4.043,3.762,3.762
ref_00287,4.16,3.483,3.878,3.878,3.483,3.878,3.483,6.315,3.483,3.483,3.483,3.878,6.691,6.61,3.878,6.162,3.483,3.878,6.128,3.483,3.878,3.483,3.483,6.257,3.878,3.483,3.483,3.878,3.878,3.878,6.315,3.483,3.878,4.16,6.423,3.483,3.483,3.483,3.483
ref_00288,3.937,3.937,3.541,3.541,3.937,3.937,3.541,6.254,3.541,3.937,3.937,3.937,6.153,6.732,3.937,6.79,3.541,4.22,6.431,3.541,3.541,3.937,3.541,6.809,3.541,4.22,3.541,3.541,3.541,3.937,6.079,3.937,4.22,3.937,6.711,3.541,3.541,3.541,3.541
ref_00289,4.012,4.012,3.731,3.731,3.731,3.731,4.012,6.165,4.232,3.337,3.337,4.012,6.541,6.371,3.337,6.416,3.731,3.731,6.579,3.731,3.337,3.731,3.337,7.063,3.731,3.731,4.232,3.731,4.012,4.012,6.521,4.012,4.012,3.731,6.634,3.731,4.012,4.012,3.731
ref_00290,3.588,3.984,2.922,3.588,3.588,3.588,3.588,6.236,3.984,3.984,3.984,3.588,6.302,6.201,3.588,6.479,3.588,3.588,6.127,3.984,2.922,3.588,3.588,6.838,3.588,3.588,3.984,2.922,3.588,3.984,6.423,2.922,3.588,3.588,6.652,3.588,3.588,3.588,2.922
ref_00291,3.755,3.755,3.361,4.037,3.361,3.755,3.755,5.931,3.361,3.361,3.361,4.037,6.977,6.823,4.037,6.069,4.037,3.361,6.526,3.755,3.755,3.755,4.037,6.131,3.361,3.755,3.361,3.361,3.755,4.037,6.659,3.755,3.755,4.037,6.838,4.037,3.755,3.755,4.037
ref_00292,3.649,3.931,3.257,3.257,3.649,3.257,3.649,6.164,3.649,3.931,3.649,3.931,6.932,6.882,3.931,6.802,3.931,3.649,6.11,3.931,3.931,3.257,3.649,6.669,3.649,3.931,3.649,3.931,3.257,3.649,6.802,3.649,3.257,4.15,6.586,3.257,4.15,3.649,3.649
ref_00293,3.976,3.301,3.301,3.976,3.694,3.301,3.694,5.831,3.301,3.694,3.976,3.694,6.666,6.761,3.976,6.597,4.195,3.301,6.443,3.694,3.301,3.301,3.301,6.731,3.301,4.195,3.301,3.301,3.976,3.301,6.183,3.976,3.694,3.694,6.286,3.694,3.301,4.195,3.976
ref_00294,3.364,4.259,3.364,3.364,3.757,4.039,4.039,5.857,3.757,3.757,4.039,3.757,6.764,6.841,3.757,6.731,4.259,4.259,6.841,3.757,3.757,3.757,4.259,6.588,3.757,4.039,3.757,3.364,3.364,3.757,6.856,3.364,4.259,4.039,6.568,3.364,4.259,3.364,3.364
ref_00295,3.731,3.731,3.337,3.731,3.731,4.012,4.012,6.598,3.337,3.337,3.731,3.731,6.978,6.965,3.731,6.501,3.731,3.337,6.48,3.337,3.731,3.731,3.337,6.273,3.731,3.337,3.731,4.012,3.731,3.731,6.076,4.012,3.731,3.731,5.869,3.731,3.731,3.731,3.731
ref_00296,3.145,3.816,3.816,3.816,3.145,3.816,3.145,5.812,3.816,3.816,3.816,3.816,6.713,6.816,3.816,6.322,3.145,3.145,6.148,3.145,3.816,3.145,3.816,6.537,3.145,3.816,4.215,3.816,3.816,3.145,6.148,3.816,3.816,3.145,6.048,3.816,3.145,3.816,3.816
ref_00297,3.706,3.706,3.037,3.706,3.706,3.706,3.706,5.935,3.037,3.037,3.706,3.706,6.627,6.627,3.037,6.423,3.037,3.706,6.486,3.706,3.706,3.037,3.037,6.035,3.706,4.103,3.706,3.706,3.037,3.706,6.209,3.706,3.706,3.706,6.455,3.706,3.706,3.706,3.706
ref_00298,4.124,3.841,3.841,3.841,3.841,3.841,3.841,6.573,3.447,3.447,3.841,3.841,6.711,6.8,3.447,6.551,3.841,3.841,6.157,3.447,3.841,3.447,3.841,6.412,3.447,3.841,3.841,3.841,3.447,4.124,6.36,3.841,3.841,4.124,5.902,4.124,3.841,3.841,4.124
ref_00299,3.61,3.61,3.61,4.007,4.007,4.007,2.944,5.888,3.61,4.007,4.007,3.61,6.224,6.934,2.944,6.259,3.61,3.61,6.15,3.61,4.007,3.61,3.61,6.388,3.61,3.61,2.944,2.944,4.007,2.944,6.325,3.61,3.61,2.944,6.027,2.944,3.61,2.944,2.944
ref_00300,3.333,3.727,4.008,4.228,4.008,4.008,3.333,6.189,3.727,4.228,3.727,3.727,6.682,6.987,3.333,6.748,3.333,4.008,6.319,3.727,4.008,4.008,3.333,6.132,4.008,3.333,3.727,4.008,3.727,4.008,6.294,3.333,3.333,3.727,6.612,3.333,3.727,3.727,3.727
ref_00301,3.566,3.566,3.566,3.566,3.962,3.566,3.566,6.534,3.566,3.566,3.566,3.962,6.606,6.87,4.245,6.483,3.566,3.962,6.024,3.566,3.962,3.962,3.962,6.695,3.566,3.962,3.962,3.566,3.566,3.566,6.401,3.962,3.566,3.566,6.142,3.962,3.566,3.566,3.566
ref_00302,3.511,3.906,3.906,3.511,3.906,3.906,3.906,6.344,3.906,3.906,3.906,3.511,6.478,6.595,3.511,6.452,3.906,3.906,6.157,3.511,4.189,3.906,4.189,6.74,4.189,3.511,3.906,4.189,3.906,3.511,6.315,3.906,3.511,3.906,6.315,3.511,3.511,3.511,3.511
ref_00303,3.442,3.442,3.442,4.119,3.442,3.837,3.837,5.664,3.442,3.837,3.837,3.837,6.382,6.382,3.442,6.63,4.119,3.442,6.215,3.442,3.442,3.837,3.837,6.725,3.837,3.442,4.119,3.837,3.837,4.119,6.015,3.442,3.837,4.119,6.829,3.837,3.442,3.442,3.837
ref_00304,3.649,4.046,3.649,4.046,3.649,3.649,4.046,6.397,4.046,4.046,4.046,3.649,6.299,6.458,2.982,6.068,4.046,3.649,6.487,3.649,4.046,3.649,3.649,6.542,3.649,3.649,3.649,4.046,3.649,3.649,6.397,3.649,2.982,3.649,6.068,3.649,3.649,3.649,3.649
ref_00305,3.635,4.032,4.032,4.032,2.968,3.635,4.032,6.554,4.032,3.635,2.968,3.635,6.175,6.654,3.635,6.605,3.635,3.635,6.284,3.635,2.968,2.968,3.635,6.284,3.635,2.968,3.635,3.635,3.635,3.635,6.808,3.635,2.968,3.635,6.213,4.032,3.635,2.968,4.032
ref_00306,3.434,3.434,4.11,3.828,3.434,3.828,3.828,6.347,4.11,3.828,2.772,3.828,6.679,7.052,3.828,6.493,3.434,3.828,6.206,3.434,3.434,3.828,3.828,6.66,3.828,4.11,3.434,3.828,3.828,3.434,6.347,3.434,3.434,4.11,6.398,3.434,3.434,3.828,4.11
ref_00307,4.182,3.9,3.504,3.9,3.9,3.504,2.841,6.248,3.504,3.9,3.9,3.9,6.589,6.859,3.504,6.446,4.182,3.9,6.543,3.504,3.9,4.182,3.504,6.309,4.182,3.504,2.841,4.182,3.9,3.504,6.002,3.9,4.182,3.9,6.496,3.504,3.504,3.504,3.9
ref_00308,4.106,4.106,3.824,3.824,3.429,3.824,3.824,6.418,3.824,3.824,3.824,3.824,6.555,6.782,3.824,6.038,3.824,3.824,6.368,4.106,3.429,2.768,3.429,6.489,4.106,3.429,3.429,3.429,3.429,3.429,6.511,3.429,3.824,3.429,6.26,4.106,3.429,3.824,3.824
ref_00309,4.037,2.973,3.64,2.973,2.973,3.64,3.64,5.632,2.973,3.64,3.64,2.973,6.014,6.388,3.64,6.255,3.64,3.64,6.419,3.64,3.64,3.64,3.64,6.772,3.64,3.64,3.64,4.037,4.037,3.64,6.388,3.64,2.973,3.64,6.728,3.64,3.64,3.64,4.037
ref_00310,3.048,3.717,4.115,3.717,4.115,3.048,3.717,6.297,3.717,3.048,3.717,3.048,6.093,6.612,3.717,6.715,4.115,3.717,5.893,4.115,4.115,3.717,3.717,6.762,4.115,4.115,3.717,4.115,3.717,4.115,6.762,3.717,3.717,3.717,6.137,3.717,3.048,4.115,3.717
ref_00311,3.837,3.442,3.837,4.119,4.119,3.442,4.119,6.456,4.119,4.339,3.837,4.119,6.795,6.382,4.339,6.922,3.837,3.837,6.63,3.837,4.119,4.119,4.339,6.215,4.119,3.442,3.837,4.119,3.837,3.442,6.589,3.837,3.442,3.442,6.65,4.119,4.119,3.837,4.119
ref_00312,3.487,3.487,3.882,3.487,4.165,3.487,3.487,6.231,3.882,3.487,3.882,3.487,6.807,6.715,3.882,6.348,4.165,3.487,6.097,3.487,3.487,3.487,3.487,6.502,3.882,3.882,3.882,3.882,3.487,3.882,6.79,3.487,3.487,3.882,5.984,3.487,3.882,3.487,3.882
ref_00313,3.981,3.981,3.699,3.981,3.699,3.981,3.981,5.798,3.699,3.306,3.306,3.699,6.811,6.406,3.699,6.767,3.306,3.306,6.704,3.699,3.981,3.306,3.699,6.839,3.699,3.981,3.306,3.981,3.981,3.306,6.161,3.981,3.981,3.699,6.688,3.306,3.306,3.306,3.981
ref_00314,3.672,3.672,3.672,3.672,3.004,3.004,3.672,6.481,3.672,3.004,3.004,3.672,6.715,6.738,3.004,6.322,3.672,3.672,5.846,3.672,3.004,3.672,3.672,6.287,3.004,3.672,3.672,3.672,3.672,3.672,5.846,3.004,3.672,4.069,5.664,3.672,3.672,3.672,3.672
ref_00315,4.115,3.717,3.717,3.717,3.048,3.048,3.717,5.569,3.717,4.115,3.717,3.717,6.498,6.334,3.048,6.665,3.048,3.717,5.836,3.717,3.717,3.717,3.048,6.467,3.048,3.048,3.717,3.717,3.717,3.717,6.498,3.717,3.717,3.717,5.711,3.717,3.048,3.717,3.717
ref_00316,3.922,3.526,3.922,3.922,3.526,3.526,3.922,6.271,4.205,3.922,3.922,3.526,6.361,6.361,3.526,6.812,3.922,3.922,6.633,3.922,3.526,3.922,3.526,6.302,3.526,3.526,3.922,3.526,4.205,3.526,6.443,3.526,3.526,3.526,6.332,3.526,3.526,2.862,4.205
ref_00317,3.0,3.668,3.0,3.668,3.0,3.668,3.668,6.477,3.0,3.668,3.668,3.0,6.318,6.447,3.0,6.042,3.668,3.668,6.588,4.065,3.0,3.668,3.668,5.947,3.0,3.668,3.668,3.668,3.0,3.668,6.506,3.668,3.668,3.0,6.711,3.668,3.0,3.0,3.668
ref_00318,3.818,3.818,3.423,4.1,3.423,4.1,3.423,6.101,3.423,3.423,4.1,3.818,6.825,7.08,4.1,5.958,4.1,3.423,6.165,3.423,4.1,3.818,4.1,5.919,3.818,3.818,3.818,3.423,4.32,3.423,6.706,3.818,3.423,4.1,6.59,3.423,3.818,3.818,4.1
ref_00319,3.917,3.522,3.522,3.917,3.522,3.917,2.858,6.133,2.858,2.858,3.917,3.522,6.561,6.789,3.522,6.133,3.522,3.522,6.489,3.917,4.2,3.522,3.522,6.692,3.917,3.522,3.917,3.522,3.522,3.522,5.937,4.2,3.917,4.2,6.751,3.917,3.522,3.917,3.522
ref_00320,3.554,3.95,3.95,3.95,3.95,3.95,3.95,6.299,3.554,3.95,3.554,3.554,6.471,7.137,3.554,6.13,3.95,3.95,6.235,3.95,3.554,3.95,3.554,6.235,3.95,3.554,4.233,3.554,3.95,3.554,6.745,3.554,3.554,3.95,6.662,4.233,3.554,3.554,3.95
ref_00321,3.646,4.043,4.043,2.978,3.646,3.646,3.646,6.362,4.043,3.646,3.646,3.646,6.591,6.777,3.646,6.329,2.978,3.646,6.394,3.646,3.646,3.646,3.646,6.689,2.978,2.978,3.646,4.043,3.646,3.646,5.82,2.978,3.646,4.043,6.799,3.646,3.646,4.043,3.646
ref_00322,3.714,4.215,3.995,3.32,3.714,3.995,3.995,6.203,3.32,3.714,3.32,3.714,6.23,7.134,3.32,6.027,3.32,3.995,6.421,3.714,3.714,3.995,3.714,6.781,3.995,3.995,3.714,3.32,3.995,3.32,6.442,3.714,3.714,3.714,6.766,3.995,3.32,3.32,4.215
ref_00323,3.615,3.615,3.615,3.615,3.615,4.012,2.949,6.229,2.949,3.615,3.615,3.615,6.229,6.788,3.615,5.842,2.949,3.615,6.56,3.615,2.949,3.615,3.615,6.585,3.615,2.949,3.615,3.615,3.615,2.949,6.331,3.615,2.949,3.615,6.393,3.615,3.615,2.949,4.012
ref_00324,3.422,4.099,3.422,3.816,3.816,3.816,4.099,6.335,4.099,3.816,4.099,3.422,6.609,6.722,3.816,6.808,3.422,3.422,6.667,3.422,3.816,3.816,3.816,5.956,4.099,4.099,3.422,3.816,3.422,3.816,6.361,3.816,3.816,3.816,6.361,4.099,3.816,3.422,3.422
ref_00325,3.708,3.039,3.708,3.039,3.708,3.708,3.039,6.25,3.039,3.708,3.039,4.105,6.359,6.547,3.708,6.393,4.105,4.105,6.324,4.105,4.105,3.708,3.708,6.729,3.708,3.708,4.105,3.708,3.708,3.708,6.324,3.708,3.039,3.708,6.359,3.708,3.708,3.708,4.105
ref_00326,3.729,3.729,3.729,3.729,3.729,3.729,4.011,5.905,3.336,3.336,4.011,2.678,6.578,6.797,3.729,6.751,3.729,3.336,6.668,3.729,4.011,3.336,3.729,6.392,3.729,3.336,3.729,4.011,3.729,3.729,6.615,3.336,3.729,4.011,6.415,4.011,3.336,4.011,3.336
ref_00327,2.975,2.975,2.975,3.642,3.642,3.642,3.642,6.257,3.642,3.642,3.642,3.642,6.507,6.587,3.642,6.479,3.642,2.975,6.257,3.642,3.642,3.642,3.642,6.183,3.642,3.642,3.642,3.642,2.975,2.975,6.103,3.642,2.975,4.039,6.479,4.039,2.975,3.642,3.642
ref_00328,2.986,2.986,3.653,4.05,3.653,4.05,4.05,6.232,3.653,2.986,3.653,2.986,6.369,6.763,4.05,5.981,3.653,3.653,6.827,3.653,3.653,3.653,3.653,6.027,4.05,3.653,4.333,4.05,3.653,4.05,6.599,3.653,3.653,3.653,6.232,2.986,3.653,3.653,4.05
ref_00329,3.564,3.564,3.564,4.243,3.564,3.564,3.564,6.245,3.564,3.96,3.564,2.899,6.507,6.775,3.564,6.399,3.96,3.564,6.176,3.96,3.564,3.564,3.564,6.102,3.96,3.564,3.564,3.564,3.96,3.564,6.14,3.564,3.96,3.564,6.507,3.564,2.899,3.96,3.564
ref_00330,3.828,3.828,4.11,3.434,3.828,3.434,3.828,6.265,3.434,3.828,3.828,3.828,6.957,6.66,3.828,6.601,3.434,3.828,6.493,3.828,4.11,3.434,3.828,6.698,3.434,3.828,3.828,3.828,3.434,3.434,6.423,4.11,4.11,3.434,6.293,3.434,4.11,4.11,3.434
ref_00331,3.531,3.531,4.21,3.531,3.531,3.531,3.927,5.902,3.531,3.927,2.867,2.867,6.499,6.853,3.927,6.499,4.21,3.531,6.03,3.531,3.927,3.531,3.927,6.548,3.927,3.531,3.531,3.531,3.531,3.927,6.681,3.531,3.927,3.927,6.616,3.927,3.927,3.531,3.927
ref_00332,3.859,3.464,3.859,3.464,3.859,3.464,3.464,6.109,2.802,4.142,3.464,3.859,6.818,6.835,3.464,6.176,3.859,3.464,6.207,3.464,3.464,3.464,3.859,6.633,3.859,3.859,4.142,3.464,3.859,3.464,6.612,3.464,3.464,4.142,6.818,3.859,3.859,3.464,3.859
ref_00333,3.588,3.984,3.588,3.984,3.588,2.922,3.984,6.164,3.984,3.984,3.588,3.984,6.78,6.531,3.588,6.004,3.984,3.588,5.96,3.588,3.588,3.984,3.588,6.27,3.588,2.922,3.588,3.588,3.984,3.588,6.365,3.588,2.922,3.588,6.718,3.588,3.588,3.588,2.922
ref_00334,4.03,3.748,4.03,3.748,3.748,3.748,3.748,6.559,3.748,3.354,4.03,3.354,6.498,6.559,3.748,6.365,3.748,4.03,6.67,4.249,3.354,4.03,4.03,6.291,3.748,3.748,4.03,3.748,4.249,3.748,6.411,3.748,3.748,4.03,6.786,4.03,3.354,3.748,4.03
ref_00335,4.086,3.409,3.804,3.804,4.086,3.804,3.804,5.943,4.305,3.409,3.409,4.086,6.24,6.761,3.804,6.727,3.804,3.409,6.422,3.804,3.409,4.086,3.804,6.778,3.804,3.409,4.086,3.804,3.804,3.409,6.576,3.409,3.804,3.804,5.981,3.804,4.086,3.804,4.086
ref_00336,3.9,3.227,3.9,3.227,3.227,3.9,3.227,6.28,3.9,3.9,4.299,3.227,6.28,6.654,3.9,6.685,3.9,3.9,6.08,3.9,3.9,4.299,3.9,6.654,3.227,3.9,3.9,3.9,4.299,3.227,6.324,3.9,3.9,3.227,5.829,3.9,3.9,3.9,3.9
ref_00337,3.052,3.721,3.721,4.119,3.721,4.119,3.052,5.573,3.721,3.721,3.721,4.119,6.532,6.471,3.721,6.002,3.721,3.052,6.669,3.052,4.119,4.119,3.052,6.719,3.721,3.721,3.721,3.721,3.721,3.052,6.002,3.052,3.721,3.721,6.301,3.721,3.721,3.721,4.119
ref_00338,3.562,2.897,3.562,3.562,3.562,3.562,3.562,6.062,3.562,2.897,3.562,2.897,6.692,6.936,3.958,6.369,3.958,3.562,6.138,3.562,3.958,3.562,3.562,6.626,3.562,3.562,3.562,3.958,3.958,3.562,6.138,3.958,3.562,3.562,6.397,3.562,3.562,3.562,3.958
ref_00339,3.664,4.061,3.664,4.061,3.664,3.664,2.996,6.279,4.061,4.061,3.664,3.664,6.314,6.635,4.061,5.943,4.061,4.061,5.892,4.061,4.061,3.664,3.664,6.817,3.664,3.664,3.664,2.996,4.061,4.061,6.684,3.664,3.664,3.664,6.502,4.061,4.061,3.664,4.061
ref_00340,4.1,3.818,3.818,3.423,3.423,3.423,3.818,6.549,3.423,3.818,3.423,4.1,6.46,6.412,3.423,6.59,3.818,3.818,6.873,3.818,3.818,4.1,4.1,6.225,3.818,3.818,3.423,3.818,3.818,3.423,6.254,3.423,4.1,4.1,6.59,3.423,3.423,3.818,3.423
ref_00341,3.996,4.216,3.996,3.322,3.715,3.715,3.322,6.422,3.322,3.715,3.322,3.715,6.282,6.999,3.996,6.582,3.996,3.322,6.464,3.322,3.322,3.322,3.996,6.687,3.322,3.322,3.715,3.322,3.322,3.322,6.331,3.715,4.216,3.322,6.949,3.715,3.715,3.715,3.322
ref_00342,3.418,3.418,4.094,4.094,3.418,3.812,4.094,6.543,4.094,3.812,3.812,3.418,6.406,6.955,3.812,6.663,4.094,3.812,6.543,4.094,4.094,3.418,3.418,6.718,3.418,4.094,4.094,3.812,3.812,3.418,5.99,3.812,4.094,4.314,6.605,3.812,3.812,3.812,4.094
ref_00343,3.771,3.771,3.771,2.718,4.053,3.771,3.377,6.053,3.771,3.377,3.771,4.053,6.913,6.315,3.771,6.794,3.377,4.053,6.412,4.053,3.377,4.053,4.273,6.543,3.771,3.771,4.053,4.053,3.771,4.053,6.913,3.377,3.771,3.771,6.563,3.771,3.771,3.377,3.377
ref_00344,2.935,3.601,3.601,3.601,3.998,3.601,4.281,6.596,3.998,3.998,3.998,3.601,6.379,6.316,3.601,6.62,3.998,3.601,6.379,3.601,2.935,3.601,3.998,6.179,3.998,3.601,3.998,3.601,2.935,3.601,6.71,3.998,3.601,3.601,6.141,2.935,3.601,3.601,3.998
ref_00345,3.362,4.038,4.038,3.362,3.362,3.756,3.362,6.397,3.362,3.362,3.756,3.362,6.037,6.486,3.756,6.527,3.362,3.756,6.102,3.362,3.756,3.362,4.038,6.84,3.362,3.756,3.756,3.756,3.756,3.362,6.567,3.362,3.756,3.756,6.349,3.756,3.756,3.756,3.362
ref_00346,3.483,3.878,3.878,3.483,3.878,3.483,3.878,6.497,3.483,3.483,3.483,3.483,6.711,6.918,3.878,6.588,3.878,3.878,6.631,3.878,3.483,3.878,3.878,6.371,3.483,3.878,3.878,3.878,3.483,3.878,6.226,3.483,3.483,3.878,6.315,3.878,3.483,3.878,3.878
ref_00347,3.841,3.841,3.841,2.785,3.447,3.447,3.447,6.36,3.841,3.841,3.841,3.841,6.484,6.386,3.447,5.902,2.785,4.124,6.412,3.447,3.447,3.841,4.124,6.865,3.841,3.447,3.841,3.447,3.841,3.447,6.278,3.841,3.447,3.841,6.091,3.447,3.841,3.447,3.447
ref_00348,4.141,3.074,3.074,4.141,3.743,3.743,3.743,6.324,3.074,3.074,3.743,4.141,6.395,6.665,3.743,6.024,3.743,3.074,6.119,3.743,3.074,3.743,3.743,6.583,3.743,3.743,3.074,3.743,3.743,3.074,6.206,3.074,3.074,3.743,6.554,4.141,3.743,3.743,3.074
ref_00349,3.93,3.93,3.534,3.534,3.93,4.433,3.93,5.906,3.534,3.534,3.93,4.433,6.597,6.764,3.534,6.369,3.93,3.534,6.369,3.93,3.534,3.93,4.213,6.31,4.213,4.213,4.433,4.213,3.534,3.534,6.215,4.213,3.93,3.93,6.907,4.213,3.93,4.213,3.93
ref_00350,3.522,3.522,3.522,3.917,3.522,4.2,3.522,6.133,3.917,3.522,3.522,3.522,6.65,6.894,3.917,6.384,3.917,3.522,6.628,3.522,3.917,3.522,3.917,6.538,3.522,3.522,3.522,3.522,3.917,3.522,6.607,3.522,3.522,3.522,6.202,3.917,3.917,3.917,3.522
ref_00351,3.456,4.133,3.456,3.456,3.85,3.85,3.85,6.445,3.85,3.85,3.456,3.456,6.702,6.757,3.456,6.56,3.85,3.456,6.757,3.456,3.456,3.456,3.456,6.56,4.133,2.793,3.456,3.456,3.456,3.456,6.56,3.85,3.85,3.456,6.37,3.85,3.85,3.85,3.456
ref_00352,3.682,3.963,3.289,3.682,3.682,3.289,3.682,6.297,3.289,3.289,3.682,3.682,6.928,7.173,3.682,6.17,3.682,3.289,6.529,3.682,3.963,3.289,4.182,6.51,4.182,3.289,3.682,3.963,3.289,3.289,5.961,3.682,3.682,3.682,6.778,3.963,3.289,3.682,3.963
ref_00353,3.593,3.989,3.593,2.927,3.593,2.927,4.272,6.206,3.989,3.989,3.593,3.989,6.339,6.68,3.593,6.88,3.593,3.989,6.339,3.593,2.927,3.989,3.593,6.537,3.593,3.989,3.593,3.593,3.989,3.989,6.484,3.989,2.927,3.989,6.511,3.593,3.989,2.927,3.989
ref_00354,3.583,3.583,3.583,3.583,3.583,3.583,3.583,6.264,3.583,2.917,3.583,3.583,6.754,6.87,2.917,6.159,3.583,3.583,6.6,2.917,3.583,3.979,3.583,6.647,2.917,3.583,3.583,3.583,3.583,2.917,6.526,3.583,3.583,3.583,5.86,2.917,3.583,3.583,3.583
ref_00355,3.77,4.052,4.052,3.77,3.77,3.77,3.77,5.909,3.77,3.77,3.376,3.77,6.434,6.839,3.77,6.62,3.376,3.376,6.261,4.052,3.77,3.376,3.77,6.776,3.77,3.77,3.77,3.77,3.77,3.77,6.411,3.77,4.052,3.376,6.601,4.052,3.376,3.376,3.376
ref_00356,3.705,3.705,4.205,3.986,3.986,4.205,4.205,6.32,3.705,3.705,4.205,3.705,6.725,6.553,3.986,5.985,4.205,3.986,6.411,3.311,3.705,3.986,3.705,6.693,3.311,3.705,3.705,3.986,4.205,3.986,6.66,3.986,4.205,3.705,6.709,3.986,3.986,3.311,3.311
ref_00357,3.901,3.506,4.184,4.184,3.506,3.901,3.901,6.447,3.506,3.901,3.901,3.506,6.421,6.826,3.901,6.08,3.506,3.506,6.612,3.506,2.842,3.901,3.506,6.772,3.901,3.901,3.901,3.506,3.901,3.901,6.004,3.506,3.506,3.506,5.876,3.506,3.506,3.901,3.901
ref_00358,2.966,3.633,3.633,3.633,2.966,3.633,3.633,6.247,4.03,3.633,3.633,3.633,6.316,6.349,2.966,5.75,3.633,3.633,6.316,2.966,2.966,2.966,3.633,6.498,3.633,3.633,2.966,2.966,3.633,3.633,5.861,3.633,2.966,2.966,6.578,3.633,3.633,2.966,3.633
ref_00359,3.689,3.02,3.689,3.689,3.689,3.689,3.02,5.539,3.689,3.689,3.689,3.689,6.23,6.339,3.02,6.609,3.689,3.689,6.437,3.689,3.689,3.689,3.689,6.15,3.689,3.689,3.689,3.02,3.689,3.689,6.063,3.689,3.02,3.02,6.108,3.689,3.02,3.689,3.02
ref_00360,3.615,3.615,3.615,3.615,2.949,4.012,3.615,5.671,3.615,2.949,3.615,2.949,6.61,6.331,3.615,6.155,3.615,2.949,6.703,4.012,2.949,2.949,3.615,6.585,2.949,3.615,4.012,4.012,4.012,4.012,6.298,2.949,3.615,4.012,6.56,4.012,2.949,3.615,2.949
ref_00361,3.497,3.497,3.892,3.892,3.892,4.174,3.497,6.271,3.892,3.892,3.892,3.892,6.624,6.901,3.497,6.624,3.892,3.497,6.603,3.892,4.174,4.174,3.497,6.799,3.497,4.174,3.497,3.892,3.892,4.174,6.301,4.174,4.174,3.892,6.706,3.892,3.497,3.497,3.892
ref_00362,3.581,3.581,3.581,3.977,3.977,3.977,3.977,6.157,3.581,3.581,3.977,2.915,6.812,6.524,3.977,5.858,3.581,2.915,6.445,3.977,3.581,3.581,3.581,6.711,3.977,3.977,3.581,3.581,3.581,3.581,6.12,3.581,3.581,3.581,5.907,2.915,3.977,3.581,3.977
ref_00363,3.583,4.262,4.262,3.583,3.583,3.979,4.262,6.264,3.583,3.583,3.979,3.583,6.713,6.691,3.583,6.6,3.979,3.979,6.297,3.583,3.583,4.262,4.262,6.5,3.583,3.583,3.583,3.979,3.583,4.262,6.713,3.583,3.979,3.583,6.23,3.583,3.583,3.583,3.583
ref_00364,3.383,3.777,3.777,3.777,3.777,3.777,4.059,6.627,3.383,3.383,4.059,3.777,6.528,6.699,3.383,6.734,4.059,3.383,6.463,3.777,3.777,3.383,3.383,6.815,3.777,3.383,3.777,4.059,3.777,3.777,5.953,3.383,4.059,3.777,6.091,3.777,3.777,3.777,3.777
ref_00365,3.655,3.655,3.655,3.655,3.655,3.655,2.987,6.073,3.655,3.655,3.655,3.655,6.233,7.064,4.052,6.521,3.655,2.987,6.492,3.655,3.655,4.052,3.655,6.675,3.655,2.987,3.655,4.052,3.655,4.052,6.463,2.987,3.655,3.655,6.371,4.052,3.655,2.987,3.655
ref_00366,3.796,2.742,4.078,3.796,4.078,3.796,3.402,6.414,3.402,3.402,3.402,4.078,6.261,7.007,3.796,6.665,4.078,3.402,6.702,3.402,4.078,3.402,3.796,6.079,3.402,3.796,3.796,3.796,3.796,3.796,6.527,3.402,3.402,3.796,6.568,3.402,3.796,3.796,3.796
